Account ID,Account Owner,Account Owner ID,Rating,Account Name,Phone,Parent Account,Parent Account ID,Website,Account Type,Ownership,Created By,Created by ID,Modified By,Modified by ID,Created Time,Modified Time,Last Activity Time,Tag,Record Id,KMHFL Code,Emergency Contact,Email,Number of beds in the hospital,Number of critical care beds,Number of beds in the ED,ED Department,County Google Drive URL,Google Maps URL,Piped Oxygen in ED,Alternate Email,Alternate Phone
zcrm_5621728000000484001,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Active,Kilifi County,0723971593,,,https://www.kilifi.go.ke/,County,County Government,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Duane Thuku,zcrm_5621728000000450001,2023-02-20 11:38:11,2023-06-06 09:50:39,2023-06-19 13:28:23,County Accounts,5621728000000484001,,,,,,,,https://drive.google.com/drive/folders/1taWXgehZU5FJDg8R7HbITSn2moKx6U-j?usp=share_link,https://goo.gl/maps/YXvwk8JNfX6QmPqY8?coh=178573&entry=tt,No,,
zcrm_5621728000000484048,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Active,Meru County,0729992061,,,https://www.meru.go.ke/,County,County Government,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Duane Thuku,zcrm_5621728000000450001,2023-02-20 11:38:11,2023-06-06 09:50:39,2023-06-14 19:04:22,County Accounts,5621728000000484048,,,,,,,,https://drive.google.com/drive/folders/1kjlWn7dxhfdGY33LsO-6rYk2HLWCUue4?usp=share_link,https://goo.gl/maps/pByt9Rd3Ga6neNeR7?coh=178573&entry=tt,No,,
zcrm_5621728000000484110,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Active,Marsabit County,0721729101,,,https://marsabit.go.ke/,County,County Government,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Duane Thuku,zcrm_5621728000000450001,2023-02-20 11:38:13,2023-06-06 09:50:39,2023-06-14 19:04:22,County Accounts,5621728000000484110,,,,,,,,https://drive.google.com/drive/folders/1wREkE8la5XZdv6bI4poXujo67Kyw4ftK?usp=share_link,https://goo.gl/maps/KX1zdSioxq9SoGbK9?coh=178573&entry=tt,No,,
zcrm_5621728000000484142,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Active,Muranga County,0722468263,,,http://www.murangacounty.go.ke/,County,County Government,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Duane Thuku,zcrm_5621728000000450001,2023-02-20 11:38:13,2023-06-06 09:50:39,2023-06-14 19:04:23,County Accounts,5621728000000484142,,,,,,,,https://drive.google.com/drive/folders/1nLdjVWCZ_o53tz-nUzwH9Hf4NrrgtkyX?usp=share_link,https://goo.gl/maps/oFvF2ZRChQZk6cuw8?coh=178573&entry=tt,No,,
zcrm_5621728000000484161,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Active,Laikipia County,0722811103,,,https://www.laikipia.go.ke/,County,County Government,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Duane Thuku,zcrm_5621728000000450001,2023-02-20 11:41:57,2023-06-06 09:50:39,2023-06-14 19:04:23,County Accounts,5621728000000484161,,,,,,,,https://drive.google.com/drive/folders/1inBllnU6lEgIoLL7kbQMCFaxatGaO5kl?usp=share_link,https://goo.gl/maps/SCVAVhRWssUuYQXT9?coh=178573&entry=tt,No,,
zcrm_5621728000000484223,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Active,Nairobi County,0723961187,,,https://www.nairobi.go.ke/,County,County Government,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Duane Thuku,zcrm_5621728000000450001,2023-02-20 11:41:58,2023-06-06 09:50:39,2023-06-14 19:04:22,County Accounts,5621728000000484223,,1508,,,,,,https://drive.google.com/drive/folders/1bF7ytsWtAsufV7dzKWLo4Tmyd7ksdboi?usp=share_link,https://goo.gl/maps/UBkbKh8tsJVcqGcU9?coh=178573&entry=tt,No,,
zcrm_5621728000000484302,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Active,Taita Taveta County,0724463777,,,https://www.taitataveta.go.ke/,County,County Government,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Duane Thuku,zcrm_5621728000000450001,2023-02-20 11:41:59,2023-06-06 09:50:39,2023-06-14 19:04:22,County Accounts,5621728000000484302,,,,,,,,https://drive.google.com/drive/folders/1EV4FrLnTT23zRVCGUgdVagjw8vP5Plsq?usp=share_link,https://goo.gl/maps/6GYwX8tA8hgBEMyP6?coh=178573&entry=tt,No,,
zcrm_5621728000000484349,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Active,Mandera County,0722797881,,,http://www.mandera.go.ke/,County,County Government,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Duane Thuku,zcrm_5621728000000450001,2023-02-20 11:42:00,2023-06-06 09:50:39,2023-06-14 19:04:22,County Accounts,5621728000000484349,,,,,,,,https://drive.google.com/drive/folders/1l-8xiQAixV6wyRie4aoP5rbygmx3w6mF?usp=sharing,https://goo.gl/maps/sdonj4NQ51PZpT9F7?coh=178573&entry=tt,No,,
zcrm_5621728000000484381,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Active,Machakos County,0724966288,,,https://www.machakosgovernment.com/,County,County Government,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Duane Thuku,zcrm_5621728000000450001,2023-02-20 11:42:00,2023-06-06 09:50:39,2023-06-14 19:04:22,County Accounts,5621728000000484381,,0721598235,,,,,,https://drive.google.com/drive/folders/150AUpj3LyH-CNB800C56AWRPF5aOCNzQ?usp=share_link,https://goo.gl/maps/qGzjsP5n4zXn6KDTA?coh=178573&entry=tt,No,,
zcrm_5621728000000484445,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Active,Trans Nzoia County,0724622965,,,http://www.transnzoia.go.ke/,County,County Government,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Duane Thuku,zcrm_5621728000000450001,2023-02-20 11:42:01,2023-06-06 09:50:39,2023-06-14 19:04:23,County Accounts,5621728000000484445,,,,,,,,https://drive.google.com/drive/folders/1LTk5vXAalQEVS7bvqFeVJeXlD9wmfTNR?usp=share_link,https://goo.gl/maps/SMmCj7DshzbneSWq9?coh=178573&entry=tt,No,,
zcrm_5621728000000484509,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Active,Kitui County,0722656610,,,http://www.kitui.go.ke/,County,County Government,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Duane Thuku,zcrm_5621728000000450001,2023-02-20 11:42:02,2023-06-06 09:50:39,2023-06-14 19:04:23,County Accounts,5621728000000484509,,,,,,,,https://drive.google.com/drive/folders/1anExYztCK-MgJw8zWbDxwHVfAe3GXMtR?usp=share_link,https://goo.gl/maps/Du2UJUUYSLbzbQFQA?coh=178573&entry=tt,No,,
zcrm_5621728000000484541,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Active,Tana River County,0718201551,,,http://www.tanariver.go.ke/,County,County Government,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Duane Thuku,zcrm_5621728000000450001,2023-02-20 11:42:03,2023-06-06 09:50:39,2023-06-14 19:04:22,County Accounts,5621728000000484541,,,,,,,,https://drive.google.com/drive/folders/1l_RfPUqCr9EMXlCLUnqdMN_fSi2c9VE3?usp=share_link,https://goo.gl/maps/AVm19pctXBGSZQ589?coh=178573&entry=tt,No,,
zcrm_5621728000000484603,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Active,Lamu County,0721778971,,,http://www.lamu.go.ke/,County,County Government,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Duane Thuku,zcrm_5621728000000450001,2023-02-20 11:42:04,2023-06-06 09:50:39,2023-06-14 19:04:20,County Accounts,5621728000000484603,,0717298164,,,,,,https://drive.google.com/drive/folders/14BqsOR8IRs7cghgLB-qSVqLCRD10NmA9?usp=share_link,https://goo.gl/maps/iwU2PekyErSXbxPs9?coh=178573&entry=tt,No,,
zcrm_5621728000000484652,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Active,Tharaka Nithi County,0728023990,,,https://www.tharakanithi.go.ke/,County,County Government,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Duane Thuku,zcrm_5621728000000450001,2023-02-20 11:42:04,2023-06-06 09:50:39,2023-06-14 19:04:22,County Accounts,5621728000000484652,,"1513 (Toll Free),0728222653",,,,,,https://drive.google.com/drive/folders/10V5pq6Ogll2znEtHGEaiRVENYMTYXq1d?usp=share_link,https://goo.gl/maps/K96nGke1M5z2AjA89?coh=178573&entry=tt,No,,
zcrm_5621728000000484684,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Active,Embu County,0720369707,,,http://www.embu.go.ke/,County,County Government,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Duane Thuku,zcrm_5621728000000450001,2023-02-20 11:42:05,2023-06-06 09:50:39,2023-06-14 19:04:23,County Accounts,5621728000000484684,,,,,,,,https://drive.google.com/drive/folders/1I9oMtfKZWZJEOn0SlhujeIJZ1GSwfM5d?usp=share_link,https://goo.gl/maps/xYSeH67HB2XqiSpk8?coh=178573&entry=tt,No,,
zcrm_5621728000000484731,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Active,Baringo County,0722313951,,,http://www.baringo.go.ke/,County,County Government,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Duane Thuku,zcrm_5621728000000450001,2023-02-20 11:42:05,2023-06-06 09:50:39,2023-06-14 19:04:22,County Accounts,5621728000000484731,,,,,,,,https://drive.google.com/drive/folders/1VxR5F7SLr_iSpCqZQgel0FR-nymRs5IA?usp=share_link,https://goo.gl/maps/Bm4Zvy9846rG7HYt8?coh=178573&entry=tt,No,,
zcrm_5621728000000484778,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Active,Samburu County,0722228650,,,https://www.samburu.go.ke/,County,County Government,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Duane Thuku,zcrm_5621728000000450001,2023-02-20 11:42:06,2023-06-06 09:50:39,2023-06-14 19:04:23,County Accounts,5621728000000484778,,,,,,,,https://drive.google.com/drive/folders/1jZm_d14v4DufWZDZBaEMe0tZvDczaVSN?usp=share_link,https://goo.gl/maps/HTpzRxNFDfVisd6WA?coh=178573&entry=tt,No,,
zcrm_5621728000000484810,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Active,Siaya County,0728420815,,,http://www.siaya.go.ke/,County,County Government,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Duane Thuku,zcrm_5621728000000450001,2023-02-20 11:42:07,2023-06-06 09:50:39,2023-06-14 19:04:23,County Accounts,5621728000000484810,,,,,,,,https://drive.google.com/drive/folders/16pjqGHI7Xy9vvS44uwRG4jk7BSLbqkw-?usp=share_link,https://goo.gl/maps/TSX5bNWa9xQRdniM6?coh=178573&entry=tt,No,,
zcrm_5621728000000484827,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Active,Bomet County,0718502543,,,http://www.bomet.go.ke/,County,County Government,Emergency Medicine Kenya Foundation,zcrm_5621728000000399001,Duane Thuku,zcrm_5621728000000450001,2023-02-20 11:42:07,2023-06-06 09:50:39,2023-06-14 19:04:23,County Accounts,5621728000000484827,,,,,,,,https://drive.google.com/drive/folders/1_QvWNDV_aSKZiapeYjwloBN_okLNfm-2?usp=share_link,https://goo.gl/maps/a6udnc7XjGQcSQif6?coh=178573&entry=tt,No,,
